average_rate_per_night,bedrooms_count,city,date_of_listing,description,latitude,longitude,title,url
$59 ,1,Irving,15-Oct,"Welcome to your happy place - a newly renovated, well lit and furnished private bedroom with bath/shower over tub and accompanying closet area. Located in the heart of Las Colinas, a great neighborhood - quiet and surrounded by the lake. Guests from all backgrounds are most welcome here. Complimentary guest parking available. Good access to the highway - 2mins away.",32.88088953,-96.94281767,Luxury Private Bedroom & Bath in Las Colinas,https://www.airbnb.com/rooms/18180466?location=Carrollton%2C%20TX
$45 ,1,Manor,17-Jun,"Cozy place, 10 miles from downtown Austin, convenient to shopping centers, restaurants.",30.35290237,-97.51568723,Clara Martin Suite,https://www.airbnb.com/rooms/19475525?location=Coupland%2C%20TX
$30 ,1,Katy,16-Jun,"My place is good for couples, solo adventurers, business travelers, and families (with kids).",29.75547877,-95.78899633,Charming private room in gated community in Katy,https://www.airbnb.com/rooms/16016475?location=Cinco%20Ranch%2C%20TX
$199 ,3,League City,13-May,"Cozy Water View Lodge w/ Pool (3/3.5)\nGreat sunset views of Clear Lake from every window and day views from the back with a deck overlooking the pool. Bring your kayaks, jet ski's or use our 40 ft boat slip. You’ll love our place because of the coziness, the views, the high ceilings and the kitchen. It's great for couples, solo adventurers, business travelers, families (with kids), or groups.",29.53971075,-95.07518536,Cozy with a Water View,https://www.airbnb.com/rooms/15732481?location=Clear%20Lake%20Shores%2C%20TX
$38 ,1,Houston,16-May,"This spare room within a 2 bed/2 bath condo is within Houston's medical center district. It is minutes away from Hermann Park, Rice University, NRG Stadium, Houston Zoo, and of course, the medical center. The listing is a 3 minute walk from the nearest bus stop and a 15 minute walk from the nearest light rail station. \n\nCable, wifi, and toiletries included.",29.68945181,-95.39325254,"Comfy, Affordable Med Center Room",https://www.airbnb.com/rooms/16946736?location=Bellaire%2C%20TX
$250 ,3,Bryan,17-May,"Fully remodeled and furnished home centrally located on a quiet culdasec on the Bryan/College Station borderline. This home boasts of a large living room, spacious kitchen with tile counter tops, breakfast area &amp; eat in kitchen. Dining room is open to the kitchen and large enough to be a second living space. Enjoy evenings on the back porch or take a quick walk to either the Garden Acres park or Tanglewood park and splashpad. Close to shopping, restaurants, bars, and so much more.",30.64043947,-96.33804793,Great Home Away From Home,https://www.airbnb.com/rooms/18569309?location=College%20Station%2C%20TX
$45 ,1,Houston,17-Jan,"YOU WILL LOVE IT. Safety, Convenience, Comfort, and Cost-Effective! One of the MOST affordable short-term medical housing.\n\nThis is an Updated all furnished 2 bedrooms and 2 bathrooms condo apartment with modern furnishings. Each private bedroom has it's own LOCK and bathroom in the bedroom suite so there is NO sharing with the other bedroom or another guest. Kitchen is furnished with all basic appliances, silverwares, cook wares, plates, bowls, glasses, etc.",29.68889861,-95.39527326,Texas Medical Center 2 BedRoom 2 BathRoom - Room 1,https://www.airbnb.com/rooms/17341645?location=Bellaire%2C%20TX
$800 ,1,Conroe,17-Jan,Beautiful quiet neighborhood right across the street from a park on a golf course. Private parking and only 45 minutes away from NRG Stadium. Perfect place to relax and unwind. Only 10 minutes away from tons of dine in and take out restaurants.,30.2447258,-95.4382271,Home right off of golf course,https://www.airbnb.com/rooms/16954892?location=Conroe%2C%20TX
$40 ,1,San Antonio,16-May,"Make yourself at home in this double size bedroom suite with private entrance. \n\n 3 min from I-35. 10 min to downtown San Antonio, 15 min to the airport, 20 min to Six Flags, Sea World.",29.48241384,-98.41001528,Family Suite with private entrance,https://www.airbnb.com/rooms/16353972?location=Cibolo%2C%20TX
$150 ,2,Houston,17-Mar,"We do not rent out the entire property, only private rooms.\nRegistered guests can enjoy the outside pool area, large backyard, and pier, along with the saltwater pool and heated jacuzzi which can be enjoyed between 8 am and 10 pm. \n\nStart your day with a walk/jog in this friendly neighborhood, enjoy a game of tennis or basketball, or fill it with one or more of the area's many tourist attractions or healthy lifestyle activities.",29.53628601,-95.08669656,PRIVATE SUITE & POOLSIDE ROOM,https://www.airbnb.com/rooms/17760693?location=Clear%20Lake%20Shores%2C%20TX
"$1,083 ",4,Concan,16-Feb,"Little Blanco is a gorgeous vacation rental house located in Concan, Texas. It is in the beautiful 18 hole golf course in Concan. It is also on one of the highest points of the Golf Course. It has over 4342 sq. ft. of livable space for you and your guests. It has 4 bedrooms and 4 bathrooms and sleeps 28 people. It is a single level home.",29.53213067,-99.69302161,Little Blanco,https://www.airbnb.com/rooms/17808720?location=Concan%2C%20TX
$35 ,1,Dallas,16-May,"Bedroom pictured has full bed, full closet w/ hangers, chiffarobe with shelving, and chest of drawers.. You will also have private access to your own TV room with a 60\",32.85329301,-96.66028827,"Nice family home close to 635, Garland & Mesquite",https://www.airbnb.com/rooms/19488681?location=Balch%20Springs%2C%20TX
$130 ,1,Austin,14-Mar,"*Not an actual Treehouse\n\nWelcome to my spacious 1 bedroom apartment located on the 2nd floor. Huge windows, a working fireplace, laminate hardwood floors, wifi, and a comfortable queen size bed are just a few perks this great space offers. I offer a self check-in so you are welcome to arrive anytime after the check-in time that's convenient for you.",30.23038507,-97.76581095,Treehouse Oasis with 2 bikes,https://www.airbnb.com/rooms/4279079?location=Colorado%20River%2C%20TX
$22 ,1,San Antonio,15-Apr,"My place is close to the airport. The bed is located in the front room but is closed off from the rest of the house and people traffic. You’ll love my place because of the neighborhood and the kitchen. My place is good for solo adventurers. \nPrivate room for rent, located in an established neighborhood with quick access to Loop 410, US 281 and IH-35. Only 5 minutes from the airport, 10 minutes to BAMC, and 15 to the UTHSCSA. It's perfect for anyone visiting for a short stay.",29.52007905,-98.45505578,Airport Trundle bed with shared bath,https://www.airbnb.com/rooms/13276148?location=Cibolo%2C%20TX
$110 ,2,Canyon Lake,14-Jun,"Our wooded retreat is nestled among old growth oaks in the Potter's Creek area, just five minutes north of Canyon Lake. It is the perfect weekend spot to unwind, decompress, and get back to what's important in life. The scent of cedar will reinvigorate you, while the green hills and crystal clear rivers will call your name. Strategically located, you will be less than an hour away from Pedernales, Blanco, Wimberley, Fredericksburg and all they have to offer. Local Tax (Word CC) of 4% Included.",29.91456536,-98.26363154,"Emerald Gem in The Texas Hill Country, Canyon Lake",https://www.airbnb.com/rooms/16338611?location=Canyon%20Lake%2C%20TX
$31 ,1,Manor,16-Apr,"My place is close to Austin and all that it has to offer!. You’ll love my place because of the outdoor space, the neighborhood, and the comfy bed. My place is good for couples, solo adventurers, and business travelers.",30.35804408,-97.54289034,the Haven at Shadow Glen #2,https://www.airbnb.com/rooms/14854727?location=Coupland%2C%20TX
